|CASE NUMBER|SR LOCATION|COUNTY|DISTRICT|NEIGHBORHOOD|TAX ID|TRASH QUAD|RECYCLE QUAD|TRASH DAY|HEAVY TRASH DAY|RECYCLE DAY|KEY MAP|MANAGEMENT DISTRICT|DEPARTMENT|DIVISION|SR TYPE|QUEUE|SLA|STATUS|SR CREATE DATE|DUE DATE|DATE CLOSED|OVERDUE|Title|x|y|LATITUDE|LONGITUDE|Channel Type
594|11434198-101000452754|11510 SANDROCK, HOUSTON TX 77048|HARRIS|D|SOUTH ACRES / CRESTMONT PARK|0951960000024|SE|SE|FRIDAY|4th Tuesday|FRIDAY-B|574J|HCID #10-A|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-09 14:32:56|2011-11-12 14:32:56|2011-11-09 16:45:01|-2.91|Flooding|3129694.71|13796583.44|29.63501328|-95.34403553|Voice In
3828|11436485-101000456606|6010 LYNDHURST, HOUSTON TX 77033|HARRIS|D|SOUTH PARK|0790300370003|SE|SE|FRIDAY|4th Wednesday|FRIDAY-A|534X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-15 13:21:39|2011-11-18 13:21:39|2011-11-15 15:30:01|-2.91|Flooding|3134415.2|13808452.39|29.66723123|-95.32801013|Voice In
3919|11436522-101000456710|Intersection 5900 BURGOYNE DR & 2400 FOUNTAIN VIEW DR|Harris County|G|GREATER UPTOWN|||||||491S||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-15 14:19:21|2011-11-18 14:19:20|2011-11-15 16:15:02|-2.92|Flooding|3083626.51829|13834161.3102|29.74218935|-95.48543554|Voice In
3978|11436551-101000456789|Intersection 5100 ALLENDALE RD & 5172 CRIPPLE CREEK DR||E|MEADOWBROOK / ALLENDALE||SE|SE|MONDAY|1st Monday|MONDAY-B|535V||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-15 15:07:45|2011-11-18 15:07:45|2011-11-15 16:30:05|-2.94|Flooding|||29.68237883|-95.24750522|WEB
4353|11436716-101000457240|12714 ALICE, HOUSTON TX 77015|HARRIS|E|NORTHSHORE|0670800040011|NE|NE|THURSDAY|1st Monday|THURSDAY-A|496M||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-16 07:47:06|2011-11-19 07:47:06|2011-11-22 15:04:19|3.3|Flooding|3171337.1|13845166.2|29.76490477|-95.20805892|Voice In
5800|101000458957|Intersection 900 ATTINGHAM DR & 10400 TOWN AND COUNTRY WAY|Harris County|G|MEMORIAL|||||||489D|Proposed Memorial City|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-17 15:43:08|2011-11-20 15:43:07|2011-11-21 16:30:23|1.03|Flooding|||29.78141964|-95.55367268|Voice In
5853|11437443-101000459028|Intersection 1450 ASHFORD PKWY & 12500 BRIAR FOREST DR|Harris County|G|BRIAR FOREST|||||||488R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-17 16:10:04|2011-11-20 16:10:03|2011-11-18 06:05:41|-2.42|Flooding|3046409.14325|13837311.2212|29.75387199|-95.60237876|Voice In
6239|11437609-101000459489|6303 CREEKBEND, HOUSTON TX 77096|HARRIS|K|BRAYS OAKS|1048010000079||||||530Z|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-18 10:03:10|2011-11-21 10:03:10|2011-11-18 16:00:22|-2.75|Flooding|||||Unknown
8395|11438591-101000462910|250 PORTWALL, HOUSTON TX 77029|HARRIS|B|PLEASANTVILLE AREA|0151290010034||||||495B||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-22 08:24:43|2011-11-25 08:24:43|2011-12-01 16:40:03|6.34|Flooding|||29.78513369|-95.27728075|WEB
9045|11438921-101000463722|BRADFORD, WADE||Unknown||||||||||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2011-11-22 15:33:46|2011-11-25 15:33:46|2011-11-22 16:50:39|-2.95|Flooding|||||Voice In
