|CASE NUMBER|SR LOCATION|COUNTY|DISTRICT|NEIGHBORHOOD|TAX ID|TRASH QUAD|RECYCLE QUAD|TRASH DAY|HEAVY TRASH DAY|RECYCLE DAY|KEY MAP|MANAGEMENT DISTRICT|DEPARTMENT|DIVISION|SR TYPE|QUEUE|SLA|STATUS|SR CREATE DATE|DUE DATE|DATE CLOSED|OVERDUE|Title|x|y|LATITUDE|LONGITUDE|Channel Type
1444|11587941-101000875653|Intersection 7800 E MAGNOLIA ST&800 NUECES ST|Harris County|I|HARRISBURG / MANCHESTER||SE|SE|MONDAY|1st Thursday|MONDAY-B|535B|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-03 08:37:42|2013-01-06 08:37:42|2013-01-06 06:45:01|-0.08|Flooding|3148341.1182|13827844.8445|29.71932525|-95.28223963|Voice In
1457|11587944-101000875673|Intersection 10700 BENTLEY RD&3100 ROTHERMEL RD|Harris County|B|EASTEX - JENSEN AREA||NE|NE|MONDAY|2nd Thursday|MONDAY-B|414T|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-03 08:44:03|2013-01-06 08:44:02|2013-01-06 06:25:00|-0.1|Flooding|3129775.60087|13881598.8912|29.86868529|-95.33539653|Voice In
3629|11588946-101000878217|500 BRINGHURST, HOUSTON TX 77020|HARRIS|B|GREATER FIFTH WARD|1373590030079|NE|NW|FRIDAY|1st Thursday|FRIDAY-B|494K||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-05 15:53:51|2013-01-08 15:53:51|2013-01-06 02:05:07|-2.58|Flooding|3131611.82|13844659.82|29.76698948|-95.33337841|Voice In
3650|11589009-101000878238|10438 AVES, HOUSTON TX 77034|HARRIS|E|EDGEBROOK AREA|0813860000010|SE|SW|THURSDAY|2nd Tuesday|THURSDAY-B|576K||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-05 16:32:47|2013-01-08 16:32:47|2013-01-06 02:05:07|-2.6|Flooding|3166800.36|13799013.91|29.63845345|-95.2270432|Voice In
3709|11589037-101000878297|6230 INWOOD, HOUSTON TX 77057|HARRIS|G|GREATER UPTOWN|0820120000284||||||491N||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-05 20:21:15|2013-01-08 20:21:15|2013-01-06 05:05:01|-2.64|Flooding|||||WEB
3953|11589227-101000878545|12426 BRANDYWYNE, HOUSTON TX 77077|HARRIS|G|BRIAR FOREST|0991330000034||||||488R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-06 15:05:38|2013-01-09 15:05:38|2013-01-06 19:45:01|-2.81|Flooding|||29.74596344|-95.60156677|WEB
4152|11589351-101000878769|8822 CARVEL, HOUSTON TX 77036|HARRIS|J|SHARPSTOWN|0934030000020|SW|SW|TUESDAY|2nd Monday|TUESDAY-B|530J|Sharpstown MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-07 08:11:33|2013-01-10 08:11:33|2013-01-08 20:45:05|-1.48|Flooding|3066751.7|13816809.42|29.69587571|-95.54020632|Voice In
4866|11589763-101000879643|9522 MOORBERRY, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|1001950000011|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450P|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-07 14:54:00|2013-01-10 14:54:00|2013-01-08 20:05:03|-1.78|Flooding|||29.81507615|-95.53402692|WEB
5522|11590089-101000880405|Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6900 MAIN ST|Harris County|K|MEDICAL CENTER AREA|||||||532H||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-08 09:30:55|2013-01-11 09:30:55|2013-01-08 19:25:01|-2.59|Flooding|3109520.07149|13821872.1845|29.70624538|-95.40506738|Voice In
5631|11590135-101000880533|Intersection 5300 ROYALTON ST&5400 WESTPARK DR|Harris County|J|GULFTON|||||||491X|Uptown Houston MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-08 10:50:03|2013-01-11 10:50:03|2013-01-08 20:25:01|-2.6|Flooding|3087965.19728|13828121.9611|29.72522932|-95.47234349|Voice In
